timestamp,open,high,low,close,volume,adjusted_close
2015-01-02,26.7,26.75,25.56,26.51,2273899,26.51
2015-01-05,26.15,26.4,25.46,25.69,2444314,25.69
2015-01-06,26.11,26.22,24.74,25.57,3447027,25.57
2015-01-07,25.89,26.2,25.22,25.98,1646709,25.98
2015-01-08,26.19,26.66,25.75,26.63,2393132,26.63
2015-01-09,26.62,26.63,26.01,26.27,1445508,26.27
2015-01-12,26.24,26.41,25.53,25.84,1207461,25.84
2015-01-13,26.11,26.84,25.4,25.72,2216211,25.72
2015-01-14,25.33,26.24,25.12,25.91,1864868,25.91
2015-01-15,26.18,26.33,25.21,25.23,1453469,25.23
2015-01-16,25.3,25.62,24.97,25.36,1628667,25.36
2015-01-20,25.57,27.45,25.25,26.91,4409935,26.91
2015-01-21,26.78,27.19,26.27,26.8,2266209,26.8
2015-01-22,27.09,27.79,26.35,27.44,2385026,27.44
2015-01-23,27.38,28.3,27.18,27.61,1757406,27.61
2015-01-26,27.68,28.23,27.6,27.89,1384766,27.89
2015-01-27,27.47,28.03,27.38,27.69,1616099,27.69
2015-01-28,27.9,28.19,27.28,27.28,1477408,27.28
2015-01-29,27.23,27.82,26.56,27.81,1536797,27.81
2015-01-30,27.52,27.97,27.0,27.01,1231137,27.01
2015-02-02,26.98,27.02,25.92,26.9,1478775,26.9
2015-02-03,26.9,27.24,25.66,25.8,2326886,25.8
2015-02-04,25.8,26.65,25.77,26.42,1327742,26.42
2015-02-05,26.55,27.0,26.28,26.98,1166607,26.98
2015-02-06,26.98,27.16,26.3,26.64,1024806,26.64
2015-02-09,26.31,26.77,26.12,26.28,770070,26.28
2015-02-10,26.39,26.69,26.01,26.58,743293,26.58
2015-02-11,26.5,26.7,26.25,26.27,959618,26.27
2015-02-12,26.36,27.39,26.36,27.38,1356675,27.38
2015-02-13,27.37,27.88,26.89,26.96,1173605,26.96
2015-02-17,27.05,27.32,26.6,26.87,757405,26.87
2015-02-18,26.76,27.18,26.4,26.99,848697,26.99
2015-02-19,26.84,27.64,26.77,27.16,981968,27.16
2015-02-20,27.23,27.77,27.04,27.58,1142293,27.58
2015-02-23,27.72,27.93,27.22,27.76,1404917,27.76
2015-02-24,27.62,27.92,27.25,27.51,1165778,27.51
2015-02-25,27.42,27.57,26.73,27.05,2028949,27.05
2015-02-26,25.62,25.85,22.19,22.69,13127592,22.69
2015-02-27,23.41,23.93,23.1,23.48,5849426,23.48
2015-03-02,23.4,23.5,22.38,22.64,3108642,22.64
2015-03-03,22.78,22.9,21.54,21.93,3988198,21.93
2015-03-04,21.75,22.98,21.45,22.65,2699365,22.65
2015-03-05,22.84,22.92,22.3,22.54,1547971,22.54
2015-03-06,22.32,22.71,22.06,22.65,2126064,22.65
2015-03-09,22.6,22.8,21.94,22.03,1151984,22.03
2015-03-10,21.65,21.96,21.39,21.84,1331183,21.84
2015-03-11,21.83,22.25,21.7,22.06,1162278,22.06
2015-03-12,22.47,24.4,22.3,24.13,3242321,24.13
2015-03-13,24.1,24.19,23.69,23.93,1947639,23.93
2015-03-16,23.95,24.15,23.38,23.53,1179207,23.53
2015-03-17,23.38,23.7,23.24,23.44,1015493,23.44
2015-03-18,23.36,23.98,23.35,23.96,934824,23.96
2015-03-19,23.83,24.49,23.8,24.37,1068303,24.37
2015-03-20,24.59,24.6,24.0,24.09,1167957,24.09
2015-03-23,24.05,24.62,24.01,24.29,1304591,24.29
2015-03-24,24.39,25.65,24.39,25.3,1922601,25.3
2015-03-25,25.22,25.45,24.21,24.35,1464503,24.35
2015-03-26,24.17,24.38,23.79,24.21,938471,24.21
2015-03-27,24.15,24.62,23.92,24.07,873178,24.07
2015-03-30,24.15,24.88,24.13,24.63,767202,24.63
2015-03-31,24.9,25.0,24.06,24.11,1216440,24.11
2015-04-01,24.01,24.38,23.41,24.24,1020791,24.24
2015-04-02,24.21,24.47,24.04,24.44,747924,24.44
2015-04-06,24.19,24.71,24.16,24.51,654981,24.51
2015-04-07,24.46,25.0,24.4,24.53,766270,24.53
2015-04-08,24.85,25.32,24.14,25.16,1367589,25.16
2015-04-09,26.27,27.48,26.2,27.4,5254171,27.4
2015-04-10,27.48,27.5,26.8,27.07,2000194,27.07
2015-04-13,27.28,27.46,26.82,27.02,1054079,27.02
2015-04-14,27.15,27.58,26.6,26.83,1293436,26.83
2015-04-15,27.09,27.36,26.53,27.15,1546345,27.15
2015-04-16,27.01,28.61,26.85,27.83,3256114,27.83
2015-04-17,29.41,29.65,28.06,28.4,4558027,28.4
2015-04-20,29.01,30.47,28.6,30.37,4136470,30.37
2015-04-21,29.96,30.0,28.74,29.5,3068739,29.5
2015-04-22,28.79,29.67,28.7,29.5,1558575,29.5
2015-04-23,29.27,30.18,28.78,29.68,1643508,29.68
2015-04-24,29.63,30.0,29.51,29.67,1272676,29.67
2015-04-27,29.76,29.9,28.1,28.37,2566442,28.37
2015-04-28,28.85,29.35,28.05,28.89,3162858,28.89
2015-04-29,28.76,28.79,27.88,28.07,2600806,28.07
2015-04-30,30.74,31.15,29.24,30.19,8804780,30.19
2015-05-01,30.5,33.23,30.5,32.37,6940730,32.37
2015-05-04,32.83,34.24,32.18,33.7,6235888,33.7
2015-05-05,33.97,35.0,33.87,34.6,6241226,34.6
2015-05-06,34.98,34.98,33.51,34.41,3869903,34.41
2015-05-07,33.25,33.35,31.94,32.58,4577513,32.58
2015-05-08,32.79,32.89,31.12,31.94,4940677,31.94
2015-05-11,32.0,33.9,31.86,33.19,3494717,33.19
2015-05-12,32.85,34.0,32.53,33.66,2678581,33.66
2015-05-13,34.0,34.49,33.47,33.54,1801535,33.54
2015-05-14,33.55,33.95,33.0,33.7,1357404,33.7
2015-05-15,33.61,33.69,32.62,32.97,1867165,32.97
2015-05-18,31.83,32.49,30.38,32.43,4273309,32.43
2015-05-19,32.56,33.0,32.25,32.35,1528619,32.35
2015-05-20,32.3,32.48,31.42,31.86,1815607,31.86
2015-05-21,31.9,32.9,31.9,32.26,1371000,32.26
2015-05-22,32.38,32.43,31.73,31.87,1129955,31.87
2015-05-26,31.76,31.83,30.48,31.3,2778485,31.3
2015-05-27,31.35,31.65,31.24,31.41,1167360,31.41
2015-05-28,31.43,32.4,31.27,31.91,1646866,31.91
2015-05-29,31.71,31.91,31.42,31.58,1069098,31.58
2015-06-01,31.7,31.87,30.73,30.89,1733988,30.89
2015-06-02,30.77,31.61,30.62,31.51,1547503,31.51
2015-06-03,32.15,32.35,31.37,31.72,1829837,31.72
2015-06-04,31.53,32.25,31.03,31.36,1668717,31.36
