timestamp,open,high,low,close,volume,adjusted_close
2015-01-02,62.62,62.96,62.07,62.49,12600000,62.49
2015-01-05,62.06,62.28,60.23,60.55,20100600,60.55
2015-01-06,60.64,60.75,58.35,58.98,29074111,58.98
2015-01-07,59.89,59.89,58.67,59.07,23843244,59.07
2015-01-08,59.97,60.9,59.97,60.39,16971100,60.39
2015-01-09,60.72,60.79,59.29,59.34,15396200,59.34
2015-01-12,59.28,59.4,58.27,58.83,15455234,58.83
2015-01-13,59.26,59.7,58.37,58.84,21644739,58.84
2015-01-14,56.91,57.0,55.27,56.81,49602310,56.81
2015-01-15,55.73,56.61,54.5,54.99,42458146,54.99
2015-01-16,54.66,56.0,54.64,55.93,29368910,55.93
2015-01-20,56.04,56.39,55.42,55.71,23477700,55.71
2015-01-21,55.45,56.42,55.19,55.89,21842400,55.89
2015-01-22,56.38,57.73,55.96,57.59,31423538,57.59
2015-01-23,57.72,57.87,56.66,56.68,15458300,56.68
2015-01-26,56.41,56.99,56.2,56.77,12577700,56.77
2015-01-27,56.05,56.61,55.76,56.2,15220526,56.2
2015-01-28,56.62,56.68,54.75,54.75,24354400,54.75
2015-01-29,55.27,55.89,54.68,55.67,20393300,55.67
2015-01-30,54.99,55.5,54.37,54.38,26943713,54.38
2015-02-02,54.53,55.65,54.27,55.47,20308900,55.47
2015-02-03,55.91,56.78,55.87,56.72,18812501,56.72
2015-02-04,56.32,57.07,56.28,56.38,14934100,56.38
2015-02-05,56.86,57.04,56.46,56.77,11293901,56.77
2015-02-06,57.75,58.73,57.54,57.89,25214001,57.89
2015-02-09,57.42,58.1,57.23,57.82,14372400,57.82
2015-02-10,58.42,58.71,58.05,58.46,16367300,58.46
2015-02-11,58.06,58.66,57.84,58.37,13061925,58.37
2015-02-12,58.93,59.71,58.55,59.57,23211327,59.57
2015-02-13,59.46,60.22,59.34,59.67,16479114,59.67
2015-02-17,59.36,60.14,59.32,60.1,15308800,60.1
2015-02-18,59.79,59.83,59.12,59.37,14278117,59.37
2015-02-19,59.15,59.48,58.8,59.23,11256543,59.23
2015-02-20,58.96,59.89,58.35,59.8,15379042,59.8
2015-02-23,59.5,59.53,58.8,59.35,16814000,59.35
2015-02-24,60.25,61.25,60.08,60.82,22937701,60.82
2015-02-25,60.76,61.27,60.75,61.14,18307912,61.14
2015-02-26,61.03,61.7,60.91,61.58,15444802,61.58
2015-02-27,61.13,61.92,61.13,61.28,15225935,61.28
2015-03-02,61.24,61.83,61.03,61.77,13047328,61.77
2015-03-03,61.65,61.99,61.5,61.97,13707655,61.97
2015-03-04,61.64,62.17,61.35,62.13,16626413,62.13
2015-03-05,62.2,62.23,61.6,62.0,10931300,62.0
2015-03-06,62.16,62.87,60.8,60.89,22719200,60.89
2015-03-09,60.84,61.63,60.8,61.5,13001500,61.5
2015-03-10,60.76,61.01,59.96,59.96,16357724,59.96
2015-03-11,60.13,60.65,59.96,60.24,13015600,60.24
2015-03-12,60.65,61.45,60.65,61.37,18159600,61.37
2015-03-13,61.4,61.86,60.43,61.0,16506200,61.0
2015-03-16,61.5,61.92,61.25,61.85,15182900,61.85
2015-03-17,61.34,61.66,60.92,61.61,11718327,61.61
2015-03-18,61.39,62.05,61.09,61.75,15697900,61.75
2015-03-19,61.57,61.65,60.76,61.2,11523800,61.2
2015-03-20,61.32,62.1,61.15,61.75,18368347,61.75
2015-03-23,61.75,62.08,61.12,61.14,15112900,61.14
2015-03-24,60.97,61.24,60.45,60.46,12128700,60.46
2015-03-25,60.53,60.64,59.59,59.61,14950900,59.61
