timestamp,open,high,low,close,volume,adjusted_close
2015-01-02,46.66,47.42,46.54,46.76,27913900,46.76
2015-01-05,46.37,46.73,46.25,46.33,39673900,46.33
2015-01-06,46.38,46.75,45.54,45.65,36447900,45.65
2015-01-07,45.98,46.46,45.49,46.23,29114100,46.23
2015-01-08,46.75,47.75,46.72,47.59,29645202,47.59
2015-01-09,47.61,47.82,46.9,47.19,23944200,47.19
2015-01-12,47.42,47.54,46.36,46.6,23651900,46.6
2015-01-13,46.97,47.91,46.06,46.36,35270601,46.36
2015-01-14,45.96,46.24,45.62,45.96,29719600,45.96
2015-01-15,46.22,46.38,45.41,45.48,32750800,45.48
2015-01-16,45.31,46.28,45.17,46.24,35695300,46.24
2015-01-20,46.3,46.65,45.57,46.39,36161900,46.39
2015-01-21,45.94,46.14,45.48,45.92,39081143,45.92
2015-01-22,46.38,47.14,46.08,47.13,35898035,47.13
2015-01-23,47.36,47.39,46.8,47.18,26211600,47.18
2015-01-26,47.0,47.13,46.24,47.01,42525530,47.01
2015-01-27,42.95,43.2,42.11,42.66,169164000,42.66
2015-01-28,42.74,42.79,41.16,41.19,84507100,41.19
2015-01-29,40.93,42.12,40.79,42.01,63585300,42.01
2015-01-30,41.55,41.58,40.35,40.4,78004944,40.4
2015-02-02,40.59,41.37,40.23,41.28,50352532,41.28
2015-02-03,41.63,41.93,41.05,41.6,52082448,41.6
2015-02-04,41.94,42.21,41.36,41.84,41614812,41.84
2015-02-05,42.22,42.64,41.86,42.45,36548200,42.45
2015-02-06,42.68,42.79,42.15,42.41,34616600,42.41
2015-02-09,42.24,42.74,42.21,42.36,31381100,42.36
2015-02-10,42.74,42.77,42.18,42.6,29670700,42.6
2015-02-11,42.65,42.65,42.21,42.38,38262509,42.38
2015-02-12,42.66,43.09,42.51,43.09,33268831,43.09
2015-02-13,43.38,43.87,43.15,43.87,40264900,43.87
2015-02-17,43.97,44.0,43.19,43.58,33695749,43.58
2015-02-18,43.63,43.7,43.39,43.53,27111700,43.53
2015-02-19,43.18,43.53,43.05,43.5,27603420,43.5
2015-02-20,43.51,43.88,43.29,43.86,29721133,43.86
2015-02-23,43.7,44.19,43.65,44.15,32518800,44.15
2015-02-24,44.15,44.3,43.92,44.09,25271747,44.09
2015-02-25,43.95,44.09,43.8,43.99,29759820,43.99
2015-02-26,43.99,44.23,43.89,44.06,28957329,44.06
2015-02-27,44.13,44.2,43.66,43.85,33807740,43.85
2015-03-02,43.67,44.19,43.55,43.88,31924049,43.88
2015-03-03,43.56,43.83,43.09,43.28,31748648,43.28
2015-03-04,43.01,43.21,42.88,43.06,25748700,43.06
2015-03-05,43.07,43.24,42.82,43.11,23193541,43.11
2015-03-06,43.0,43.11,42.15,42.36,36248800,42.36
2015-03-09,42.19,43.13,42.19,42.85,32108000,42.85
2015-03-10,42.35,42.71,42.03,42.03,39159730,42.03
2015-03-11,42.31,42.37,41.84,41.98,32215314,41.98
2015-03-12,41.33,41.65,40.86,41.02,59992502,41.02
2015-03-13,40.7,41.47,40.61,41.38,58007705,41.38
2015-03-16,41.47,41.64,41.28,41.56,35273500,41.56
2015-03-17,41.37,41.83,41.15,41.7,31673448,41.7
2015-03-18,41.43,42.83,41.33,42.5,44194800,42.5
2015-03-19,42.26,42.59,42.22,42.29,33879100,42.29
2015-03-20,42.56,42.98,42.49,42.88,71904529,42.88
2015-03-23,42.88,43.13,42.78,42.86,26246100,42.86
2015-03-24,42.78,43.17,42.75,42.9,25513300,42.9
2015-03-25,42.92,42.93,41.44,41.46,43469907,41.46
2015-03-26,41.22,41.61,40.92,41.21,37495627,41.21
2015-03-27,41.12,41.43,40.83,40.97,34401400,40.97
2015-03-30,41.1,41.54,40.91,40.96,35049700,40.96
2015-03-31,40.78,41.03,40.54,40.66,34887219,40.66
2015-04-01,40.6,40.76,40.31,40.72,36865322,40.72
2015-04-02,40.66,40.74,40.12,40.29,37487500,40.29
2015-04-06,40.34,41.78,40.18,41.55,39223700,41.55
2015-04-07,41.61,41.91,41.31,41.53,28809400,41.53
2015-04-08,41.46,41.69,41.04,41.42,24753438,41.42
2015-04-09,41.25,41.62,41.25,41.48,25723900,41.48
2015-04-10,41.63,41.95,41.41,41.72,28022002,41.72
2015-04-13,41.4,42.06,41.39,41.76,30276700,41.76
2015-04-14,41.8,42.03,41.39,41.65,24244400,41.65
2015-04-15,41.76,42.46,41.68,42.26,27343600,42.26
2015-04-16,41.95,42.34,41.82,42.16,22509700,42.16
2015-04-17,41.67,41.74,41.16,41.62,42387608,41.62
2015-04-20,41.73,43.17,41.68,42.91,46057733,42.91
2015-04-21,43.0,43.15,42.53,42.64,26013844,42.64
2015-04-22,42.67,43.13,42.55,42.99,25064300,42.99
2015-04-23,42.89,43.61,42.8,43.34,46309530,43.34
2015-04-24,45.66,48.14,45.65,47.87,130933700,47.87
2015-04-27,47.23,48.13,47.22,48.03,59248200,48.03
2015-04-28,47.78,49.21,47.7,49.16,60730800,49.16
2015-04-29,48.72,49.31,48.5,49.06,47804600,49.06
2015-04-30,48.7,49.54,48.6,48.64,64725500,48.64
2015-05-01,48.58,48.88,48.4,48.66,38937336,48.66
2015-05-04,48.37,48.87,48.18,48.24,34039500,48.24
2015-05-05,47.82,48.16,47.31,47.6,50369200,47.6
2015-05-06,47.57,47.77,46.02,46.28,52433020,46.28
2015-05-07,46.27,47.09,46.16,46.7,32971700,46.7
2015-05-08,47.55,47.98,47.52,47.75,35364911,47.75
2015-05-11,47.55,47.91,47.37,47.37,24609416,47.37
2015-05-12,46.85,47.68,46.42,47.35,29928300,47.35
2015-05-13,48.19,48.32,47.57,47.63,34184613,47.63
2015-05-14,48.03,48.82,48.03,48.72,32980900,48.72
2015-05-15,48.87,48.91,48.05,48.3,28642700,48.3
2015-05-18,47.98,48.22,47.61,48.01,24136502,48.01
2015-05-19,47.56,47.81,47.18,47.58,28574813,47.58
2015-05-20,47.39,47.93,47.27,47.58,25047919,47.58
2015-05-21,47.28,47.6,47.01,47.42,22410700,47.42
2015-05-22,47.3,47.35,46.82,46.9,25720600,46.9
2015-05-26,46.83,46.88,46.19,46.59,29581900,46.59
2015-05-27,46.82,47.77,46.62,47.61,27335639,47.61
2015-05-28,47.5,48.02,47.39,47.45,19283700,47.45
2015-05-29,47.43,47.57,46.59,46.86,36519600,46.86
2015-06-01,47.06,47.77,46.62,47.23,28837332,47.23
2015-06-02,46.93,47.35,46.62,46.92,21498326,46.92
2015-06-03,47.37,47.74,46.82,46.85,28002200,46.85
2015-06-04,46.79,47.16,46.2,46.36,27745512,46.36
2015-06-05,46.31,46.52,45.84,46.14,25438100,46.14
2015-06-08,46.3,46.43,45.67,45.73,22121634,45.73
2015-06-09,45.76,45.94,45.46,45.65,24406100,45.65
2015-06-10,45.79,46.83,45.69,46.61,28417405,46.61
2015-06-11,46.66,46.92,46.13,46.44,27347800,46.44
2015-06-12,46.22,46.47,45.9,45.97,23931000,45.97
2015-06-15,45.45,45.65,45.02,45.48,33254517,45.48
2015-06-16,45.35,46.24,45.3,45.83,27070306,45.83
2015-06-17,45.73,46.07,45.36,45.97,28704100,45.97
2015-06-18,46.22,46.8,46.17,46.72,32658343,46.72
2015-06-19,46.79,46.83,45.99,46.1,63837036,46.1
2015-06-22,46.33,46.72,46.16,46.23,20318100,46.23
2015-06-23,46.13,46.28,45.62,45.91,25896500,45.91
2015-06-24,45.67,46.25,45.55,45.64,34890901,45.64
2015-06-25,46.03,46.06,45.5,45.65,20616000,45.65
2015-06-26,45.65,46.28,45.03,45.26,49835300,45.26
2015-06-29,45.04,45.23,44.36,44.37,34081746,44.37
2015-06-30,44.71,44.72,43.94,44.15,35945400,44.15
2015-07-01,44.46,45.23,44.1,44.45,28343907,44.45
2015-07-02,44.48,44.75,44.06,44.4,21752013,44.4
2015-07-06,43.96,44.48,43.95,44.39,23034000,44.39
2015-07-07,44.34,44.49,43.32,44.3,36435827,44.3
2015-07-08,44.44,44.9,44.03,44.24,39785901,44.24
2015-07-09,44.75,45.22,44.5,44.52,32424700,44.52
2015-07-10,45.01,45.14,44.57,44.61,25465800,44.61
2015-07-13,44.98,45.62,44.95,45.54,28178329,45.54
2015-07-14,45.45,45.96,45.31,45.62,22880300,45.62
2015-07-15,45.68,45.89,45.43,45.76,26629615,45.76
2015-07-16,46.01,46.69,45.97,46.66,26271700,46.66
2015-07-17,46.55,46.78,46.26,46.62,29467107,46.62
2015-07-20,46.65,47.13,46.44,46.92,30631905,46.92
2015-07-21,46.78,47.33,46.48,47.28,42781900,47.28
2015-07-22,45.44,46.93,45.2,45.54,59152427,45.54
2015-07-23,45.27,46.23,45.1,46.11,33934010,46.11
2015-07-24,45.91,46.32,45.8,45.94,32333244,45.94
2015-07-27,45.94,46.01,45.25,45.35,39701420,45.35
2015-07-28,45.58,45.64,44.79,45.34,34328948,45.34
2015-07-29,45.4,46.78,45.26,46.29,40945900,46.29
2015-07-30,46.26,47.4,45.93,46.88,39777900,46.88
2015-07-31,47.29,47.37,46.5,46.7,31201500,46.7
2015-08-03,46.98,47.0,46.45,46.81,24125900,46.81
2015-08-04,46.75,47.71,46.68,47.54,33403916,47.54
2015-08-05,47.98,48.41,47.54,47.58,26959700,47.58
2015-08-06,47.71,47.77,46.33,46.62,27368000,46.62
2015-08-07,46.39,46.78,46.26,46.74,19163038,46.74
2015-08-10,46.95,47.49,46.84,47.33,23079900,47.33
2015-08-11,46.82,46.94,45.9,46.41,29237402,46.41
2015-08-12,46.19,46.9,45.71,46.74,30198532,46.74
2015-08-13,47.06,47.1,46.49,46.73,22627241,46.73
2015-08-14,46.53,47.1,46.52,47.0,21473402,47.0
2015-08-17,46.81,47.45,46.57,47.32,21099746,47.32
2015-08-18,46.84,47.43,46.7,47.27,23574104,47.27
2015-08-19,46.78,47.08,46.3,46.61,31485511,46.61
2015-08-20,46.07,46.47,45.66,45.66,36238227,45.66
2015-08-21,45.3,45.48,43.07,43.07,70053100,43.07
2015-08-24,40.45,43.31,39.72,41.68,88753700,41.68
2015-08-25,42.57,43.24,40.39,40.47,70616600,40.47
2015-08-26,42.01,42.84,41.06,42.71,63408000,42.71
2015-08-27,43.23,43.95,42.93,43.9,50943211,43.9
2015-08-28,43.4,44.15,43.39,43.93,28246725,43.93
2015-08-31,43.56,43.93,43.1,43.52,34441700,43.52
2015-09-01,42.17,42.59,41.66,41.82,49688900,41.82
2015-09-02,42.36,43.38,41.88,43.36,37671518,43.36
2015-09-03,43.41,43.98,43.28,43.5,28285205,43.5
2015-09-04,42.81,43.04,42.2,42.61,37138800,42.61
2015-09-08,43.3,44.0,43.2,43.89,32469800,43.89
2015-09-09,44.21,44.4,42.91,43.07,33469500,43.07
2015-09-10,43.12,43.79,42.75,43.29,31366630,43.29
2015-09-11,43.14,43.59,42.94,43.48,27132527,43.48
2015-09-14,43.43,43.44,42.86,43.04,23656048,43.04
2015-09-15,43.19,44.29,43.08,43.98,28882206,43.98
2015-09-16,43.97,44.38,43.84,44.3,23372200,44.3
2015-09-17,44.29,45.0,44.08,44.25,32768200,44.25
2015-09-18,43.5,43.99,43.33,43.48,63143700,43.48
2015-09-21,43.62,44.47,43.6,44.11,26177224,44.11
2015-09-22,43.38,44.05,43.31,43.9,28085903,43.9
2015-09-23,43.93,44.17,43.51,43.87,17145238,43.87
2015-09-24,43.45,44.13,43.27,43.91,27905607,43.91
2015-09-25,44.48,44.73,43.76,43.94,29384601,43.94
2015-09-28,43.83,44.09,43.21,43.29,27613800,43.29
2015-09-29,43.37,43.57,43.05,43.44,32763600,43.44
2015-09-30,43.88,44.3,43.66,44.26,34958900,44.26
2015-10-01,44.75,44.75,43.75,44.61,28657900,44.61
2015-10-02,44.27,45.57,43.92,45.57,41839035,45.57
