timestamp,open,high,low,close,volume,adjusted_close
2020-01-02,53.27,53.96,53.23,53.95,13899600,53.95
2020-01-03,52.99,54.05,52.95,53.76,11026717,53.76
2020-01-06,53.36,54.2,53.35,54.04,10982400,54.04
2020-01-07,53.89,54.33,53.61,54.16,12037347,54.16
2020-01-08,53.94,54.6,53.7,54.13,11857642,54.13
2020-01-09,54.25,54.8,54.03,54.38,10671019,54.38
2020-01-10,54.55,54.65,54.22,54.45,9734800,54.45
2020-01-13,54.46,54.79,54.36,54.58,10859994,54.58
2020-01-14,54.52,55.18,54.5,54.88,12627494,54.88
2020-01-15,54.88,55.18,54.68,54.76,9090815,54.76
2020-01-16,54.98,55.45,54.93,55.43,9866036,55.43
2020-01-17,55.63,55.69,54.85,55.13,11166619,55.13
2020-01-21,54.98,55.36,54.92,55.22,8773031,55.22
2020-01-22,55.41,55.65,54.6,54.72,6380500,54.72
2020-01-23,54.41,55.0,54.28,54.98,6583200,54.98
2020-01-24,55.06,55.2,53.88,54.07,6426029,54.07
2020-01-27,53.18,53.52,52.63,52.69,8259100,52.69
2020-01-28,52.86,53.68,52.66,53.46,8620547,53.46
2020-01-29,53.78,53.94,53.18,53.2,6332500,53.2
2020-01-30,52.82,53.33,52.28,53.31,7176200,53.31
2020-01-31,53.34,53.49,52.29,52.45,8884763,52.45
2020-02-03,52.73,53.41,52.69,53.09,8892516,53.09
2020-02-04,53.75,54.56,53.75,54.04,9769854,54.04
2020-02-05,54.67,55.03,54.58,54.74,9612932,54.74
2020-02-06,55.0,55.35,54.71,54.71,8832013,54.71
2020-02-07,54.27,54.97,54.19,54.72,7864800,54.72
2020-02-10,54.72,55.07,54.45,54.99,7198216,54.99
2020-02-11,55.17,55.54,55.11,55.15,8466600,55.15
2020-02-12,55.55,55.89,55.25,55.73,7541100,55.73
2020-02-13,55.31,55.64,55.01,55.31,8480140,55.31
2020-02-14,55.38,55.84,55.24,55.47,7496836,55.47
2020-02-18,55.42,55.76,55.1,55.45,7185700,55.45
2020-02-19,55.59,55.77,55.39,55.44,6819545,55.44
2020-02-20,55.4,55.87,54.88,55.51,6114630,55.51
2020-02-21,55.08,55.34,54.44,54.68,9078643,54.68
2020-02-24,53.1,53.53,52.51,52.65,10992552,52.65
2020-02-25,53.07,53.22,50.8,50.96,12202812,50.96
2020-02-26,51.31,53.14,51.24,52.05,16413100,52.05
2020-02-27,50.88,53.46,50.76,50.78,16161100,50.78
2020-02-28,49.24,49.89,47.9,49.46,24427058,49.46
2020-03-02,49.73,50.9,48.67,50.9,17328615,50.9
2020-03-03,50.62,51.84,48.25,48.85,21830505,48.85
2020-03-04,49.85,50.59,48.83,50.54,14813717,50.54
2020-03-05,49.23,49.68,47.75,48.0,15843000,48.0
2020-03-06,46.57,48.3,46.46,47.37,24581400,47.37
2020-03-09,44.95,47.57,44.66,46.01,25949300,46.01
2020-03-10,47.45,48.91,46.16,48.58,27067704,48.58
2020-03-11,46.81,47.48,44.27,44.72,24142853,44.72
2020-03-12,41.12,43.4,39.71,39.8,24123800,39.8
2020-03-13,44.45,47.99,43.42,47.93,28339433,47.93
2020-03-16,42.51,47.57,41.26,42.72,27493700,42.72
2020-03-17,43.62,47.71,41.66,46.86,25588900,46.86
2020-03-18,43.67,47.8,42.56,47.27,29557006,47.27
2020-03-19,46.47,47.97,44.87,45.07,20159100,45.07
2020-03-20,45.02,46.7,44.51,45.65,26341191,45.65
2020-03-23,45.0,46.49,43.89,44.19,23063700,44.19
2020-03-24,45.33,48.01,45.3,47.84,19323700,47.84
2020-03-25,47.1,48.74,45.48,45.94,25625800,45.94
2020-03-26,46.38,50.74,46.19,50.48,22418935,50.48
2020-03-27,49.09,51.6,48.56,49.83,20025303,49.83
2020-03-30,50.4,51.59,49.59,50.36,20611903,50.36
2020-03-31,51.12,51.18,48.0,48.33,15803792,48.33
2020-04-01,46.55,48.99,46.04,48.71,17918494,48.71
2020-04-02,48.18,49.89,48.1,49.8,16434410,49.8
2020-04-03,49.3,50.05,48.95,49.4,13362500,49.4
