timestamp,open,high,low,close,volume,adjusted_close
2020-01-02,189.0,191.14,188.72,191.12,8734203,191.12
2020-01-03,188.41,190.96,187.92,189.6,4900888,189.6
2020-01-06,188.0,189.21,187.16,189.19,10110573,189.19
2020-01-07,189.59,190.1,188.6,188.69,4414489,188.69
2020-01-08,189.49,192.5,188.8,191.92,5713315,191.92
2020-01-09,193.0,193.92,192.52,193.25,6749144,193.25
2020-01-10,193.5,194.57,193.11,193.77,6587582,193.77
2020-01-13,194.44,195.6,194.28,195.33,11292361,195.33
2020-01-14,196.74,196.95,195.14,196.05,6239663,196.05
2020-01-15,197.0,200.15,196.32,199.8,10831100,199.8
2020-01-16,201.0,201.5,199.78,200.95,9983741,200.95
2020-01-17,201.76,204.75,199.98,204.7,12518923,204.7
2020-01-21,204.13,208.39,203.8,207.29,14861700,207.29
2020-01-22,207.51,210.13,207.29,207.9,8065003,207.9
2020-01-23,207.9,208.4,205.3,206.52,8520800,206.52
2020-01-24,207.42,207.99,204.21,205.0,7812900,205.0
2020-01-27,200.0,203.33,199.1,201.69,7198900,201.69
2020-01-28,202.39,203.84,201.78,202.85,7215700,202.85
2020-01-29,204.3,205.92,202.51,204.86,7051852,204.86
2020-01-30,204.0,208.5,203.32,208.21,8571900,208.21
2020-01-31,201.49,203.98,198.26,198.97,16699600,198.97
2020-02-03,199.94,202.26,199.85,200.81,10887866,200.81
2020-02-04,203.5,204.92,202.23,203.56,10205903,203.56
2020-02-05,205.5,205.6,199.95,202.81,8672418,202.81
2020-02-06,203.05,204.63,202.48,203.04,7001200,203.04
2020-02-07,201.98,203.83,201.09,202.74,5691149,202.74
2020-02-10,201.97,206.13,201.86,205.99,6239519,205.99
2020-02-11,207.5,207.67,203.64,203.94,10231900,203.94
2020-02-12,205.0,208.15,205.0,207.44,7355800,207.44
2020-02-13,206.62,208.47,206.05,207.4,9495314,207.4
2020-02-14,208.29,210.78,208.01,210.29,6548804,210.29
2020-02-18,210.0,211.5,209.36,211.2,7652915,211.2
2020-02-19,212.52,214.17,211.72,213.31,5927543,213.31
2020-02-20,212.13,213.69,208.28,211.45,8531900,211.45
2020-02-21,209.9,210.22,207.42,208.81,9233229,208.81
2020-02-24,197.89,203.77,194.01,198.79,13316800,198.79
2020-02-25,198.79,199.89,187.72,188.4,18539000,188.4
2020-02-26,190.0,193.51,187.03,187.21,14218220,187.21
2020-02-27,182.12,186.34,180.0,180.01,17536604,180.01
2020-02-28,173.79,182.33,172.98,181.76,22674738,181.76
2020-03-02,186.32,192.44,183.1,192.33,17434500,192.33
2020-03-03,193.2,194.04,184.5,185.73,15226400,185.73
2020-03-04,190.36,194.49,186.17,194.29,10789145,194.29
2020-03-05,191.24,191.92,185.64,186.96,10106900,186.96
2020-03-06,183.54,185.99,179.98,184.36,15183200,184.36
2020-03-09,171.21,179.57,168.31,171.13,20486400,171.13
2020-03-10,179.47,182.61,171.88,182.6,16119423,182.6
2020-03-11,177.65,178.73,170.2,172.95,14611854,172.95
2020-03-12,158.5,172.0,156.99,160.08,27467745,160.08
2020-03-13,168.72,176.32,162.21,175.83,19948900,175.83
2020-03-16,151.14,165.31,147.98,152.01,23692023,152.01
2020-03-17,155.75,163.7,149.25,157.89,22298002,157.89
2020-03-18,148.46,150.68,139.8,148.48,22787500,148.48
2020-03-19,146.92,157.25,141.47,152.25,19362800,152.25
2020-03-20,154.82,158.26,145.67,146.83,18692100,146.83
2020-03-23,141.33,143.35,133.93,135.74,30344100,135.74
2020-03-24,144.84,155.25,143.58,154.53,24488300,154.53
2020-03-25,159.32,168.18,153.58,161.78,20619633,161.78
2020-03-26,162.08,169.53,161.79,168.88,17068962,168.88
2020-03-27,161.08,167.1,158.15,161.56,14950746,161.56
2020-03-30,161.04,165.87,160.69,165.57,15714502,165.57
2020-03-31,166.43,168.19,160.54,161.12,20613132,161.12
2020-04-01,156.32,158.07,151.42,153.11,12595200,153.11
2020-04-02,152.53,158.35,151.29,157.39,14051134,157.39
2020-04-03,155.56,157.72,150.6,151.85,11994700,151.85
2020-04-06,160.02,170.73,158.25,169.44,16479116,169.44
2020-04-07,177.76,178.8,168.1,168.59,15379002,168.59
2020-04-08,171.01,176.0,167.93,174.94,11146505,174.94
2020-04-09,176.27,177.19,172.85,173.69,12234791,173.69
2020-04-13,172.26,172.32,166.15,168.99,14043743,168.99
2020-04-14,173.09,175.43,170.83,174.62,9980500,174.62
2020-04-15,168.7,169.36,164.95,165.96,12118700,165.96
2020-04-16,167.11,168.0,159.8,162.42,20308242,162.42
2020-04-17,169.65,170.99,164.95,169.54,15375823,169.54
2020-04-20,167.33,167.43,163.2,164.22,10505200,164.22
2020-04-21,162.0,162.57,159.15,160.53,10562119,160.53
2020-04-22,164.66,167.7,162.92,166.59,14512902,166.59
2020-04-23,167.88,170.41,166.21,166.38,11411300,166.38
2020-04-24,168.44,168.75,164.01,167.32,8393562,167.32
2020-04-27,168.65,172.35,168.55,171.76,9903319,171.76
2020-04-28,175.0,175.01,170.38,171.25,8614404,171.25
2020-04-29,176.85,182.25,176.1,181.79,12862801,181.79
2020-04-30,181.78,181.83,177.66,178.72,11331600,178.72
2020-05-01,174.45,179.64,174.27,175.57,10109600,175.57
2020-05-04,172.95,176.94,171.72,176.15,9386209,176.15
2020-05-05,179.09,181.1,178.26,178.44,13513000,178.44
2020-05-06,179.72,180.51,177.88,178.78,8540501,178.78
2020-05-07,181.75,184.98,181.71,182.72,9262209,182.72
2020-05-08,185.03,185.75,183.62,185.09,6475195,185.09
2020-05-11,183.87,184.62,181.43,183.56,8683139,183.56
2020-05-12,183.56,183.99,179.37,179.47,8219700,179.47
