timestamp,open,high,low,close,volume,adjusted_close
2015-01-02,27.88,27.99,27.1,27.65,441400,27.65
2015-01-05,27.43,27.43,26.79,26.88,484710,26.88
2015-01-06,26.89,27.0,25.84,26.12,698351,26.12
2015-01-07,26.49,26.59,26.08,26.29,677113,26.29
2015-01-08,26.6,27.02,26.38,26.79,344600,26.79
2015-01-09,26.74,26.74,26.0,26.01,494400,26.01
2015-01-12,25.89,26.2,25.39,25.58,657370,25.58
2015-01-13,25.75,26.13,25.2,25.47,602535,25.47
2015-01-14,25.07,25.25,24.66,25.17,430200,25.17
2015-01-15,25.13,25.29,24.64,24.68,472200,24.68
2015-01-16,24.53,25.15,24.52,25.14,563300,25.14
2015-01-20,25.17,25.45,24.58,25.06,548734,25.06
2015-01-21,24.92,25.27,24.67,24.87,371821,24.87
2015-01-22,25.08,26.19,25.04,26.13,635717,26.13
2015-01-23,26.29,26.9,25.84,26.35,914323,26.35
2015-01-26,26.69,26.78,26.0,26.72,382900,26.72
2015-01-27,26.28,26.9,26.28,26.59,573613,26.59
2015-01-28,26.9,26.9,25.93,25.94,583411,25.94
2015-01-29,25.96,26.38,25.71,26.26,657300,26.26
2015-01-30,25.96,26.15,25.67,25.71,361863,25.71
2015-02-02,25.84,26.65,25.71,26.56,470813,26.56
2015-02-03,26.79,27.48,26.76,27.07,378703,27.07
2015-02-04,26.99,27.38,26.88,26.91,400100,26.91
2015-02-05,27.09,27.61,27.02,27.58,336400,27.58
2015-02-06,27.76,28.75,27.72,28.23,722600,28.23
2015-02-09,28.11,28.18,27.67,27.68,316003,27.68
2015-02-10,28.01,28.1,27.41,27.97,262300,27.97
2015-02-11,27.86,28.06,27.61,27.81,363759,27.81
2015-02-12,28.05,28.52,28.03,28.42,442319,28.42
2015-02-13,28.42,28.73,28.32,28.65,324728,28.65
2015-02-17,28.75,28.99,28.44,28.98,353913,28.98
2015-02-18,28.84,28.89,28.17,28.39,272600,28.39
2015-02-19,28.29,28.52,27.95,28.42,285496,28.42
2015-02-20,28.37,28.6,27.81,28.56,267500,28.56
2015-02-23,28.41,28.42,28.05,28.41,328808,28.41
2015-02-24,28.5,29.04,28.5,28.81,532300,28.81
2015-02-25,28.78,28.83,28.41,28.52,376345,28.52
2015-02-26,28.47,28.88,28.43,28.83,311002,28.83
