ticker,status,error,rows_loaded,rows_after_cleaning,adjusted_ohlc_applied,total_trades,final_equity,total_return_pct,cagr_pct,max_drawdown_pct,sharpe_ratio,calmar_ratio,profit_factor,expectancy_per_trade_R,win_rate_pct,ambiguous_exits_pct,benchmark_cagr_pct,benchmark_max_drawdown_pct,benchmark_sharpe,benchmark_calmar_ratio,falsifier_pass,falsifier_failure_reasons,signal_count,rows_reaching_min_score,signal_rate_pct,top_bottlenecks
AAPL,OK,,2516,2516,True,22,117367.79,17.37,1.62,4.02,0.51,0.402,2.23,0.755,45.45,0.0,24.85,38.73,0.922,0.642,False,INSUFFICIENT_TRADES: total_trades=22 < required=30; CALMAR_BELOW_BENCHMARK: strategy=0.402 < benchmark=0.642,44,37,1.9,
MSFT,OK,,2516,2516,True,22,111024.62,11.02,1.05,4.01,0.344,0.263,1.687,0.502,36.36,0.0,24.65,37.56,0.948,0.656,False,INSUFFICIENT_TRADES: total_trades=22 < required=30; CALMAR_BELOW_BENCHMARK: strategy=0.263 < benchmark=0.656,41,37,1.77,
NVDA,OK,,2516,2516,True,31,139606.35,39.61,3.4,3.03,0.832,1.121,3.262,1.107,51.61,0.0,75.03,66.36,1.393,1.131,False,CALMAR_BELOW_BENCHMARK: strategy=1.121 < benchmark=1.131,67,63,2.89,
META,OK,,2516,2516,True,21,101116.11,1.12,0.11,10.38,0.05,0.011,1.059,0.083,33.33,0.0,22.31,76.74,0.727,0.291,False,INSUFFICIENT_TRADES: total_trades=21 < required=30; LOW_PROFIT_FACTOR: profit_factor=1.059 < required=1.2; CALMAR_BELOW_BENCHMARK: strategy=0.011 < benchmark=0.291,49,40,2.12,
AMZN,OK,,2516,2516,True,30,133483.52,33.48,2.93,5.09,0.767,0.576,2.691,0.99,50.0,0.0,30.47,56.15,0.975,0.543,True,,56,52,2.42,
GOOGL,OK,,2516,2516,True,19,114885.71,14.89,1.4,4.02,0.461,0.348,2.221,0.759,42.11,0.0,21.78,44.32,0.835,0.492,False,INSUFFICIENT_TRADES: total_trades=19 < required=30; CALMAR_BELOW_BENCHMARK: strategy=0.348 < benchmark=0.492,44,37,1.9,
JPM,OK,,2516,2516,True,16,103055.74,3.06,0.3,5.47,0.138,0.055,1.262,0.21,31.25,0.0,14.42,43.99,0.628,0.328,False,INSUFFICIENT_TRADES: total_trades=16 < required=30; CALMAR_BELOW_BENCHMARK: strategy=0.055 < benchmark=0.328,32,27,1.38,LOW_SIGNAL_SAMPLE: 27 rows reach min_confluence_score (< 30)
AXON,OK,,2516,2516,True,27,106091.19,6.09,0.59,8.07,0.194,0.074,1.3,0.243,29.63,0.0,36.56,58.61,0.886,0.624,False,INSUFFICIENT_TRADES: total_trades=27 < required=30; CALMAR_BELOW_BENCHMARK: strategy=0.074 < benchmark=0.624,60,47,2.59,
ANET,OK,,2516,2516,True,29,116844.42,16.84,1.57,4.32,0.439,0.363,1.809,0.564,37.93,0.0,39.74,52.17,1.003,0.762,False,INSUFFICIENT_TRADES: total_trades=29 < required=30; CALMAR_BELOW_BENCHMARK: strategy=0.363 < benchmark=0.762,67,54,2.89,
APO,OK,,2516,2516,True,21,116082.08,16.08,1.5,6.04,0.484,0.249,2.174,0.738,42.86,0.0,21.54,54.35,0.717,0.396,False,INSUFFICIENT_TRADES: total_trades=21 < required=30; CALMAR_BELOW_BENCHMARK: strategy=0.249 < benchmark=0.396,53,42,2.29,
WAL,OK,,2516,2516,True,18,100974.43,0.97,0.1,6.29,0.052,0.015,1.07,0.074,27.78,0.0,11.72,85.18,0.482,0.138,False,INSUFFICIENT_TRADES: total_trades=18 < required=30; LOW_PROFIT_FACTOR: profit_factor=1.070 < required=1.2; CALMAR_BELOW_BENCHMARK: strategy=0.015 < benchmark=0.138,50,35,2.16,
ORCL,OK,,2516,2516,True,17,104069.25,4.07,0.4,5.31,0.158,0.075,1.303,0.261,29.41,0.0,14.19,41.08,0.619,0.345,False,INSUFFICIENT_TRADES: total_trades=17 < required=30; CALMAR_BELOW_BENCHMARK: strategy=0.075 < benchmark=0.345,40,35,1.73,
