status,real_total_trades,n_simulations,n_simulations_completed,real_total_return_pct,random_median_total_return_pct,random_p75_total_return_pct,random_p90_total_return_pct,real_calmar,random_median_calmar,random_p75_calmar,random_p90_calmar,real_max_drawdown_pct,random_median_max_drawdown_pct,timing_edge_percentile_return,timing_edge_percentile_calmar,beats_random_median_return,beats_random_p75_return,beats_random_median_calmar,beats_random_p75_calmar,randomized_timing_pass,failure_reasons,ticker
OK,22,1000,1000,17.37,11.42,18.63,25.83,0.402,0.139,0.258,0.409,4.02,7.89,71.3,89.2,True,False,True,True,False,RETURN_NOT_ABOVE_P75_RANDOM: real=17.4% <= p75=18.6%,AAPL
OK,22,1000,1000,11.02,13.44,20.09,26.31,0.263,0.186,0.308,0.438,4.01,6.75,39.2,66.0,False,False,True,False,False,CALMAR_NOT_ABOVE_P75_RANDOM: real=0.263 <= p75=0.308; RETURN_NOT_ABOVE_P75_RANDOM: real=11.0% <= p75=20.1%,MSFT
OK,31,1000,1000,39.61,29.07,41.49,53.8,1.121,0.271,0.451,0.664,3.03,9.31,71.3,98.9,True,False,True,True,False,RETURN_NOT_ABOVE_P75_RANDOM: real=39.6% <= p75=41.5%,NVDA
OK,21,1000,1000,1.12,10.53,18.6,25.63,0.011,0.121,0.251,0.427,10.38,8.75,18.2,18.2,False,False,False,False,False,CALMAR_NOT_ABOVE_P75_RANDOM: real=0.011 <= p75=0.251; RETURN_NOT_ABOVE_P75_RANDOM: real=1.1% <= p75=18.6%,META
OK,30,1000,1000,33.48,21.41,31.98,43.74,0.576,0.183,0.309,0.477,5.09,10.81,77.3,94.8,True,True,True,True,True,,AMZN
OK,19,1000,1000,14.89,9.99,17.97,26.3,0.348,0.121,0.248,0.4,4.02,8.17,66.5,85.1,True,False,True,True,False,RETURN_NOT_ABOVE_P75_RANDOM: real=14.9% <= p75=18.0%,GOOGL
OK,16,1000,1000,3.06,7.25,12.64,18.85,0.055,0.108,0.203,0.337,5.47,6.96,31.0,37.2,False,False,False,False,False,CALMAR_NOT_ABOVE_P75_RANDOM: real=0.055 <= p75=0.203; RETURN_NOT_ABOVE_P75_RANDOM: real=3.1% <= p75=12.6%,JPM
OK,27,1000,1000,6.09,9.51,17.84,25.3,0.074,0.12,0.259,0.396,8.07,7.85,35.8,37.8,False,False,False,False,False,CALMAR_NOT_ABOVE_P75_RANDOM: real=0.074 <= p75=0.259; RETURN_NOT_ABOVE_P75_RANDOM: real=6.1% <= p75=17.8%,AXON
OK,29,1000,1000,16.84,16.06,25.17,34.32,0.363,0.18,0.321,0.475,4.32,8.75,52.6,79.8,True,False,True,True,False,RETURN_NOT_ABOVE_P75_RANDOM: real=16.8% <= p75=25.2%,ANET
OK,21,1000,1000,16.08,13.17,21.22,30.02,0.249,0.146,0.269,0.438,6.04,8.45,60.3,71.9,True,False,True,False,False,CALMAR_NOT_ABOVE_P75_RANDOM: real=0.249 <= p75=0.269; RETURN_NOT_ABOVE_P75_RANDOM: real=16.1% <= p75=21.2%,APO
OK,18,1000,1000,0.97,5.13,12.96,21.21,0.015,0.053,0.17,0.341,6.29,9.08,34.9,36.6,False,False,False,False,False,CALMAR_NOT_ABOVE_P75_RANDOM: real=0.015 <= p75=0.170; RETURN_NOT_ABOVE_P75_RANDOM: real=1.0% <= p75=13.0%,WAL
OK,17,1000,1000,4.07,4.5,10.3,16.51,0.075,0.069,0.177,0.317,5.31,6.8,47.5,52.7,False,False,True,False,False,CALMAR_NOT_ABOVE_P75_RANDOM: real=0.075 <= p75=0.177; RETURN_NOT_ABOVE_P75_RANDOM: real=4.1% <= p75=10.3%,ORCL
