status,real_total_trades,n_simulations,n_simulations_completed,real_total_return_pct,random_median_total_return_pct,random_p75_total_return_pct,random_p90_total_return_pct,real_calmar,random_median_calmar,random_p75_calmar,random_p90_calmar,real_max_drawdown_pct,random_median_max_drawdown_pct,timing_edge_percentile_return,timing_edge_percentile_calmar,beats_random_median_return,beats_random_p75_return,beats_random_median_calmar,beats_random_p75_calmar,randomized_timing_pass,failure_reasons,ticker
OK,6,1000,1000,9.04,3.34,7.19,11.24,0.934,0.127,0.377,0.707,1.87,5.13,82.8,95.2,True,True,True,True,True,,AAPL
OK,8,1000,1000,-0.27,2.33,5.43,8.74,-0.014,0.108,0.31,0.567,4.01,4.53,28.6,27.6,False,False,False,False,False,CALMAR_NOT_ABOVE_P75_RANDOM: real=-0.014 <= p75=0.310; RETURN_NOT_ABOVE_P75_RANDOM: real=-0.3% <= p75=5.4%,MSFT
OK,12,1000,1000,17.54,10.1,16.26,22.42,1.632,0.307,0.587,0.915,2.02,6.11,79.4,98.3,True,True,True,True,True,,NVDA
OK,7,1000,1000,8.98,4.47,11.09,18.62,1.518,0.147,0.461,0.946,1.14,6.44,69.0,97.4,True,False,True,True,False,RETURN_NOT_ABOVE_P75_RANDOM: real=9.0% <= p75=11.1%,META
OK,11,1000,1000,0.64,4.18,8.34,12.68,0.032,0.136,0.347,0.616,4.01,5.8,29.2,31.8,False,False,False,False,False,CALMAR_NOT_ABOVE_P75_RANDOM: real=0.032 <= p75=0.347; RETURN_NOT_ABOVE_P75_RANDOM: real=0.6% <= p75=8.3%,AMZN
OK,8,1000,1000,9.13,4.83,8.98,13.37,1.654,0.164,0.342,0.589,1.07,5.99,75.6,99.9,True,True,True,True,True,,GOOGL
OK,7,1000,1000,4.43,1.87,4.97,8.14,0.2,0.088,0.301,0.562,4.37,4.43,71.6,64.1,True,False,True,False,False,CALMAR_NOT_ABOVE_P75_RANDOM: real=0.200 <= p75=0.301; RETURN_NOT_ABOVE_P75_RANDOM: real=4.4% <= p75=5.0%,JPM
OK,8,1000,1000,6.07,4.75,8.69,12.12,0.237,0.224,0.496,0.761,5.0,4.3,59.6,51.5,True,False,True,False,False,CALMAR_NOT_ABOVE_P75_RANDOM: real=0.237 <= p75=0.496; RETURN_NOT_ABOVE_P75_RANDOM: real=6.1% <= p75=8.7%,WMT
OK,10,1000,1000,6.01,4.5,10.42,18.79,0.347,0.174,0.451,0.865,3.98,6.08,58.0,67.6,True,False,True,False,False,CALMAR_NOT_ABOVE_P75_RANDOM: real=0.347 <= p75=0.451; RETURN_NOT_ABOVE_P75_RANDOM: real=6.0% <= p75=10.4%,PLTR
OK,10,1000,1000,10.12,8.27,13.42,18.74,0.969,0.237,0.481,0.803,2.01,6.78,59.3,93.9,True,False,True,True,False,RETURN_NOT_ABOVE_P75_RANDOM: real=10.1% <= p75=13.4%,CRWD
OK,15,1000,1000,6.03,8.84,15.06,20.82,0.283,0.308,0.613,0.996,4.16,5.57,36.5,46.8,False,False,False,False,False,CALMAR_NOT_ABOVE_P75_RANDOM: real=0.283 <= p75=0.613; RETURN_NOT_ABOVE_P75_RANDOM: real=6.0% <= p75=15.1%,AXON
OK,15,1000,1000,10.94,17.78,24.92,32.08,0.617,0.605,0.901,1.303,3.41,5.61,24.3,51.7,False,False,True,False,False,CALMAR_NOT_ABOVE_P75_RANDOM: real=0.617 <= p75=0.901; RETURN_NOT_ABOVE_P75_RANDOM: real=10.9% <= p75=24.9%,ANET
OK,11,1000,1000,5.45,8.93,14.66,20.17,0.215,0.284,0.591,0.906,4.97,5.61,33.4,40.6,False,False,False,False,False,CALMAR_NOT_ABOVE_P75_RANDOM: real=0.215 <= p75=0.591; RETURN_NOT_ABOVE_P75_RANDOM: real=5.5% <= p75=14.7%,APO
OK,9,1000,1000,2.64,2.58,7.73,13.09,0.131,0.09,0.317,0.617,3.99,5.87,50.3,56.2,True,False,True,False,False,CALMAR_NOT_ABOVE_P75_RANDOM: real=0.131 <= p75=0.317; RETURN_NOT_ABOVE_P75_RANDOM: real=2.6% <= p75=7.7%,WAL
OK,11,1000,1000,4.42,7.0,12.0,17.87,0.164,0.247,0.488,0.761,5.3,5.64,34.9,38.6,False,False,False,False,False,CALMAR_NOT_ABOVE_P75_RANDOM: real=0.164 <= p75=0.488; RETURN_NOT_ABOVE_P75_RANDOM: real=4.4% <= p75=12.0%,ORCL
