ticker,year,strategy_return_pct,benchmark_return_pct,strategy_max_drawdown_pct,benchmark_max_drawdown_pct,strategy_calmar,benchmark_calmar,trade_count,win_count,loss_count,win_rate_pct,total_pnl,avg_pnl,exposure_pct,warnings,exposure_time_pct,exposure_matched_cagr_pct,exposure_matched_max_drawdown_pct,exposure_matched_calmar,strategy_vs_exposure_matched_calmar_delta
AAPL,2015,0.0,-3.7,0.0,22.47,0.0,-0.164,0,0,0,0.0,0.0,0.0,0.0,NO_TRADES: 2015,14.1,3.69,6.38,0.578,-0.176
AAPL,2016,-1.02,9.95,1.02,19.41,-1.0,0.513,1,0,1,0.0,-1019.61,-1019.61,14.3,"UNDEREXPOSED_IN_BULL_YEAR: 2016 (exposure=14.3%, benchmark_return=9.9%); CALMAR_BELOW_BENCHMARK: strategy=-1.000 < benchmark=0.513 in 2016",14.1,3.69,6.38,0.578,-0.176
AAPL,2017,2.65,45.7,3.18,8.86,0.833,5.155,5,2,3,40.0,2626.48,525.3,24.7,CALMAR_BELOW_BENCHMARK: strategy=0.833 < benchmark=5.155 in 2017,14.1,3.69,6.38,0.578,-0.176
AAPL,2018,1.93,-8.43,1.02,36.73,1.889,-0.229,2,1,1,50.0,1961.64,980.82,29.1,,14.1,3.69,6.38,0.578,-0.176
AAPL,2019,-3.03,85.94,3.03,18.15,-1.0,4.734,4,1,3,25.0,-145.99,-36.5,12.7,"UNDEREXPOSED_IN_BULL_YEAR: 2019 (exposure=12.7%, benchmark_return=85.9%); CALMAR_BELOW_BENCHMARK: strategy=-1.000 < benchmark=4.734 in 2019",14.1,3.69,6.38,0.578,-0.176
AAPL,2020,7.18,76.71,1.02,31.43,7.046,2.441,5,3,2,60.0,7427.87,1485.57,23.3,,14.1,3.69,6.38,0.578,-0.176
AAPL,2021,4.79,37.22,1.2,18.72,3.998,1.988,2,1,1,50.0,1938.46,969.23,12.3,"UNDEREXPOSED_IN_BULL_YEAR: 2021 (exposure=12.3%, benchmark_return=37.2%)",14.1,3.69,6.38,0.578,-0.176
AAPL,2022,0.0,-28.61,0.0,30.75,0.0,-0.93,0,0,0,0.0,0.0,0.0,0.0,NO_TRADES: 2022,14.1,3.69,6.38,0.578,-0.176
AAPL,2023,1.05,53.94,1.87,15.05,0.563,3.585,2,1,1,50.0,1187.32,593.66,18.4,"UNDEREXPOSED_IN_BULL_YEAR: 2023 (exposure=18.4%, benchmark_return=53.9%); CALMAR_BELOW_BENCHMARK: strategy=0.563 < benchmark=3.585 in 2023",14.1,3.69,6.38,0.578,-0.176
AAPL,2024,2.98,34.9,0.0,15.46,1695.811,2.257,1,1,0,100.0,3393.62,3393.62,6.3,"UNDEREXPOSED_IN_BULL_YEAR: 2024 (exposure=6.3%, benchmark_return=34.9%)",14.1,3.69,6.38,0.578,-0.176
