ticker,year,strategy_return_pct,benchmark_return_pct,strategy_max_drawdown_pct,benchmark_max_drawdown_pct,strategy_calmar,benchmark_calmar,trade_count,win_count,loss_count,win_rate_pct,total_pnl,avg_pnl,exposure_pct,warnings
AAPL,2020,-0.0,76.71,0.0,31.43,-1.0,2.441,1,1,0,100.0,2982.74,2982.74,4.3,"UNDEREXPOSED_IN_BULL_YEAR: 2020 (exposure=4.3%, benchmark_return=76.7%); CALMAR_BELOW_BENCHMARK: strategy=-1.000 < benchmark=2.441 in 2020"
AAPL,2021,4.79,37.22,1.2,18.72,3.996,1.988,2,1,1,50.0,1800.3,900.15,12.3,"UNDEREXPOSED_IN_BULL_YEAR: 2021 (exposure=12.3%, benchmark_return=37.2%)"
AAPL,2022,0.0,-28.61,0.0,30.75,0.0,-0.93,0,0,0,0.0,0.0,0.0,0.0,NO_TRADES: 2022
AAPL,2023,1.05,53.94,1.87,15.05,0.563,3.585,2,1,1,50.0,1102.48,551.24,18.4,"UNDEREXPOSED_IN_BULL_YEAR: 2023 (exposure=18.4%, benchmark_return=53.9%); CALMAR_BELOW_BENCHMARK: strategy=0.563 < benchmark=3.585 in 2023"
AAPL,2024,2.98,34.9,0.0,15.46,1575.22,2.257,1,1,0,100.0,3152.44,3152.44,6.3,"UNDEREXPOSED_IN_BULL_YEAR: 2024 (exposure=6.3%, benchmark_return=34.9%)"
MSFT,2020,0.0,38.48,0.0,28.24,0.0,1.363,0,0,0,0.0,0.0,0.0,0.0,"NO_TRADES: 2020; UNDEREXPOSED_IN_BULL_YEAR: 2020 (exposure=0.0%, benchmark_return=38.5%); CALMAR_BELOW_BENCHMARK: strategy=0.000 < benchmark=1.363 in 2020"
MSFT,2021,0.88,54.49,2.03,8.77,0.436,6.215,3,1,2,33.3,884.79,294.93,20.2,CALMAR_BELOW_BENCHMARK: strategy=0.436 < benchmark=6.215 in 2021
MSFT,2022,0.0,-28.36,0.0,36.0,0.0,-0.788,0,0,0,0.0,0.0,0.0,0.0,NO_TRADES: 2022
MSFT,2023,-0.13,56.96,3.02,13.17,-0.043,4.324,4,1,3,25.0,-131.02,-32.76,13.6,"UNDEREXPOSED_IN_BULL_YEAR: 2023 (exposure=13.6%, benchmark_return=57.0%); CALMAR_BELOW_BENCHMARK: strategy=-0.043 < benchmark=4.324 in 2023"
MSFT,2024,-1.02,13.65,1.02,15.49,-1.0,0.882,1,0,1,0.0,-1026.44,-1026.44,9.5,"UNDEREXPOSED_IN_BULL_YEAR: 2024 (exposure=9.5%, benchmark_return=13.7%); CALMAR_BELOW_BENCHMARK: strategy=-1.000 < benchmark=0.882 in 2024"
