split_id,train_start,train_end,test_start,test_end,ticker,test_total_trades,test_expectancy_per_trade_R,test_profit_factor,test_calmar,test_benchmark_calmar,test_exposure_matched_calmar,test_random_p75_calmar,falsifier_pass,exposure_matched_pass,randomized_timing_pass,status,failure_reasons,strategy_name,strategy_version
0,2015-01-01,2018-01-01,2018-01-01,2019-01-01,AAPL,8,-0.005,0.969,-0.062,-0.231,-0.173,0.202,False,True,False,OK,NEGATIVE_EXPECTANCY: -0.005; LOW_PROFIT_FACTOR: 0.969,MomentumContinuationConfluence,v1
1,2016-01-01,2019-01-01,2019-01-01,2020-01-01,AAPL,6,0.85,2.271,3.199,4.76,4.06,6.23,False,False,False,OK,CALMAR_BELOW_BENCHMARK: 3.199 < 4.760,MomentumContinuationConfluence,v1
2,2017-01-01,2020-01-01,2020-01-01,2021-01-01,AAPL,6,0.926,2.558,3.903,2.441,2.237,3.514,True,True,False,OK,,MomentumContinuationConfluence,v1
3,2018-01-01,2021-01-01,2021-01-01,2022-01-01,AAPL,7,1.278,3.908,4.502,1.997,1.924,1.476,True,True,True,OK,,MomentumContinuationConfluence,v1
4,2019-01-01,2022-01-01,2022-01-01,2023-01-01,AAPL,5,-1.012,0.0,-1.004,-0.937,-0.914,0.193,False,False,False,OK,NEGATIVE_EXPECTANCY: -1.012; LOW_PROFIT_FACTOR: 0.0; CALMAR_BELOW_BENCHMARK: -1.004 < -0.937,MomentumContinuationConfluence,v1
5,2020-01-01,2023-01-01,2023-01-01,2024-01-01,AAPL,6,0.842,2.219,1.302,3.638,3.27,2.672,False,False,False,OK,CALMAR_BELOW_BENCHMARK: 1.302 < 3.638,MomentumContinuationConfluence,v1
0,2015-01-01,2018-01-01,2018-01-01,2019-01-01,AMZN,9,0.241,1.279,0.522,0.779,0.793,1.94,False,False,False,OK,CALMAR_BELOW_BENCHMARK: 0.522 < 0.779,MomentumContinuationConfluence,v1
1,2016-01-01,2019-01-01,2019-01-01,2020-01-01,AMZN,6,-0.464,0.508,-0.641,1.29,1.286,1.34,False,False,False,OK,NEGATIVE_EXPECTANCY: -0.464; LOW_PROFIT_FACTOR: 0.508; CALMAR_BELOW_BENCHMARK: -0.641 < 1.290,MomentumContinuationConfluence,v1
2,2017-01-01,2020-01-01,2020-01-01,2021-01-01,AMZN,8,0.909,2.492,3.604,3.148,2.82,2.0,True,True,True,OK,,MomentumContinuationConfluence,v1
3,2018-01-01,2021-01-01,2021-01-01,2022-01-01,AMZN,7,-0.031,0.94,-0.097,0.32,0.392,1.703,False,False,False,OK,NEGATIVE_EXPECTANCY: -0.031; LOW_PROFIT_FACTOR: 0.94; CALMAR_BELOW_BENCHMARK: -0.097 < 0.320,MomentumContinuationConfluence,v1
