split_id,train_start,train_end,test_start,test_end,ticker,test_total_trades,test_expectancy_per_trade_R,test_profit_factor,test_calmar,test_benchmark_calmar,test_exposure_matched_calmar,test_random_p75_calmar,falsifier_pass,exposure_matched_pass,randomized_timing_pass,status,failure_reasons,strategy_name,strategy_version
0,2015-01-01,2018-01-01,2018-01-01,2019-01-01,AAPL,9,-0.075,0.88,-0.17,-0.231,-0.176,0.36,False,True,False,OK,NEGATIVE_EXPECTANCY: -0.075; LOW_PROFIT_FACTOR: 0.88,TrendPullbackConfluence,v1
1,2016-01-01,2019-01-01,2019-01-01,2020-01-01,AAPL,7,1.196,3.225,5.382,4.76,4.158,6.585,True,True,False,OK,,TrendPullbackConfluence,v1
2,2017-01-01,2020-01-01,2020-01-01,2021-01-01,AAPL,7,0.62,1.843,1.462,2.441,2.244,1.975,False,False,False,OK,CALMAR_BELOW_BENCHMARK: 1.462 < 2.441,TrendPullbackConfluence,v1
3,2018-01-01,2021-01-01,2021-01-01,2022-01-01,AAPL,5,1.401,4.456,6.947,1.997,1.947,1.847,True,True,True,OK,,TrendPullbackConfluence,v1
4,2019-01-01,2022-01-01,2022-01-01,2023-01-01,AAPL,9,-1.022,0.0,-1.004,-0.937,-0.914,0.522,False,False,False,OK,NEGATIVE_EXPECTANCY: -1.022; LOW_PROFIT_FACTOR: 0.0; CALMAR_BELOW_BENCHMARK: -1.004 < -0.937,TrendPullbackConfluence,v1
5,2020-01-01,2023-01-01,2023-01-01,2024-01-01,AAPL,6,0.948,2.65,1.762,3.638,3.252,2.651,False,False,False,OK,CALMAR_BELOW_BENCHMARK: 1.762 < 3.638,TrendPullbackConfluence,v1
0,2015-01-01,2018-01-01,2018-01-01,2019-01-01,AMZN,11,0.428,1.582,1.14,0.779,0.793,1.061,True,True,True,OK,,TrendPullbackConfluence,v1
1,2016-01-01,2019-01-01,2019-01-01,2020-01-01,AMZN,4,-0.079,0.883,,,,,False,,False,INSUFFICIENT_TEST_TRADES,INSUFFICIENT_TEST_TRADES: 4 < 5,TrendPullbackConfluence,v1
2,2017-01-01,2020-01-01,2020-01-01,2021-01-01,AMZN,8,1.003,2.795,3.999,3.148,2.839,1.745,True,True,True,OK,,TrendPullbackConfluence,v1
3,2018-01-01,2021-01-01,2021-01-01,2022-01-01,AMZN,8,-0.574,0.391,-0.717,0.32,0.405,0.952,False,False,False,OK,NEGATIVE_EXPECTANCY: -0.574; LOW_PROFIT_FACTOR: 0.391; CALMAR_BELOW_BENCHMARK: -0.717 < 0.320,TrendPullbackConfluence,v1
4,2019-01-01,2022-01-01,2022-01-01,2023-01-01,AMZN,0,0.0,0.0,,,,,False,,False,INSUFFICIENT_TEST_TRADES,INSUFFICIENT_TEST_TRADES: 0 < 5,TrendPullbackConfluence,v1
5,2020-01-01,2023-01-01,2023-01-01,2024-01-01,AMZN,4,-0.01,0.963,,,,,False,,False,INSUFFICIENT_TEST_TRADES,INSUFFICIENT_TEST_TRADES: 4 < 5,TrendPullbackConfluence,v1
0,2015-01-01,2018-01-01,2018-01-01,2019-01-01,ANET,7,-1.021,0.0,-1.004,-0.229,-0.096,0.225,False,False,False,OK,NEGATIVE_EXPECTANCY: -1.021; LOW_PROFIT_FACTOR: 0.0; CALMAR_BELOW_BENCHMARK: -1.004 < -0.229,TrendPullbackConfluence,v1
1,2016-01-01,2019-01-01,2019-01-01,2020-01-01,ANET,4,-0.554,0.561,,,,,False,,False,INSUFFICIENT_TEST_TRADES,INSUFFICIENT_TEST_TRADES: 4 < 5,TrendPullbackConfluence,v1
2,2017-01-01,2020-01-01,2020-01-01,2021-01-01,ANET,3,-1.007,0.0,,,,,False,,False,INSUFFICIENT_TEST_TRADES,INSUFFICIENT_TEST_TRADES: 3 < 5,TrendPullbackConfluence,v1
3,2018-01-01,2021-01-01,2021-01-01,2022-01-01,ANET,8,0.949,2.447,3.601,6.035,5.596,6.205,False,False,False,OK,CALMAR_BELOW_BENCHMARK: 3.601 < 6.035,TrendPullbackConfluence,v1
4,2019-01-01,2022-01-01,2022-01-01,2023-01-01,ANET,8,-1.025,0.0,-1.004,-0.403,-0.218,0.904,False,False,False,OK,NEGATIVE_EXPECTANCY: -1.025; LOW_PROFIT_FACTOR: 0.0; CALMAR_BELOW_BENCHMARK: -1.004 < -0.403,TrendPullbackConfluence,v1
5,2020-01-01,2023-01-01,2023-01-01,2024-01-01,ANET,9,1.164,3.27,3.132,4.449,4.253,4.102,False,False,False,OK,CALMAR_BELOW_BENCHMARK: 3.132 < 4.449,TrendPullbackConfluence,v1
0,2015-01-01,2018-01-01,2018-01-01,2019-01-01,APO,5,-0.217,0.714,-0.383,-0.718,-0.672,0.259,False,True,False,OK,NEGATIVE_EXPECTANCY: -0.217; LOW_PROFIT_FACTOR: 0.714,TrendPullbackConfluence,v1
1,2016-01-01,2019-01-01,2019-01-01,2020-01-01,APO,7,0.717,2.214,2.453,6.662,5.683,3.964,False,False,False,OK,CALMAR_BELOW_BENCHMARK: 2.453 < 6.662,TrendPullbackConfluence,v1
2,2017-01-01,2020-01-01,2020-01-01,2021-01-01,APO,3,-1.008,0.0,,,,,False,,False,INSUFFICIENT_TEST_TRADES,INSUFFICIENT_TEST_TRADES: 3 < 5,TrendPullbackConfluence,v1
3,2018-01-01,2021-01-01,2021-01-01,2022-01-01,APO,5,1.416,4.346,3.544,3.629,3.48,1.926,False,True,True,OK,CALMAR_BELOW_BENCHMARK: 3.544 < 3.629,TrendPullbackConfluence,v1
4,2019-01-01,2022-01-01,2022-01-01,2023-01-01,APO,2,-1.017,0.0,,,,,False,,False,INSUFFICIENT_TEST_TRADES,INSUFFICIENT_TEST_TRADES: 2 < 5,TrendPullbackConfluence,v1
5,2020-01-01,2023-01-01,2023-01-01,2024-01-01,APO,9,0.322,1.439,0.914,2.089,1.98,1.875,False,False,False,OK,CALMAR_BELOW_BENCHMARK: 0.914 < 2.089,TrendPullbackConfluence,v1
0,2015-01-01,2018-01-01,2018-01-01,2019-01-01,AXON,5,1.272,2.973,3.152,1.394,1.313,2.592,True,True,False,OK,,TrendPullbackConfluence,v1
1,2016-01-01,2019-01-01,2019-01-01,2020-01-01,AXON,6,-0.361,0.57,-0.545,2.022,1.866,1.307,False,False,False,OK,NEGATIVE_EXPECTANCY: -0.361; LOW_PROFIT_FACTOR: 0.57; CALMAR_BELOW_BENCHMARK: -0.545 < 2.022,TrendPullbackConfluence,v1
2,2017-01-01,2020-01-01,2020-01-01,2021-01-01,AXON,4,-0.064,0.896,,,,,False,,False,INSUFFICIENT_TEST_TRADES,INSUFFICIENT_TEST_TRADES: 4 < 5,TrendPullbackConfluence,v1
3,2018-01-01,2021-01-01,2021-01-01,2022-01-01,AXON,8,-0.052,0.912,-0.144,0.877,0.887,1.397,False,False,False,OK,NEGATIVE_EXPECTANCY: -0.052; LOW_PROFIT_FACTOR: 0.912; CALMAR_BELOW_BENCHMARK: -0.144 < 0.877,TrendPullbackConfluence,v1
4,2019-01-01,2022-01-01,2022-01-01,2023-01-01,AXON,2,0.993,2.874,,,,,False,,False,INSUFFICIENT_TEST_TRADES,INSUFFICIENT_TEST_TRADES: 2 < 5,TrendPullbackConfluence,v1
5,2020-01-01,2023-01-01,2023-01-01,2024-01-01,AXON,3,1.657,5.925,,,,,False,,False,INSUFFICIENT_TEST_TRADES,INSUFFICIENT_TEST_TRADES: 3 < 5,TrendPullbackConfluence,v1
0,2015-01-01,2018-01-01,2018-01-01,2019-01-01,GOOGL,5,-0.213,0.719,-0.565,-0.113,-0.029,0.699,False,False,False,OK,NEGATIVE_EXPECTANCY: -0.213; LOW_PROFIT_FACTOR: 0.719; CALMAR_BELOW_BENCHMARK: -0.565 < -0.113,TrendPullbackConfluence,v1
