split_id,train_start,train_end,test_start,test_end,ticker,test_total_trades,test_expectancy_per_trade_R,test_profit_factor,test_calmar,test_benchmark_calmar,test_exposure_matched_calmar,test_random_p75_calmar,falsifier_pass,exposure_matched_pass,randomized_timing_pass,status,failure_reasons,strategy_name,strategy_version,protocol_version,v1_2_ticker,test_window,strategy_exposure_pct,strategy_total_return,strategy_calmar,buy_hold_total_return,buy_hold_calmar,exposure_matched_bh_total_return,exposure_matched_bh_calmar,randomized_timing_p95_total_return,randomized_timing_p95_calmar,exposure_edge_label,timing_edge_label,v1_1_verdict_preserved,v1_2_diagnostic_label,v1_2_failure_reasons
0,2015-01-01,2018-01-01,2018-01-01,2019-01-01,AAPL,2,0.984,2.834,,,,,False,,False,INSUFFICIENT_TEST_TRADES,INSUFFICIENT_TEST_TRADES: 2 < 5,,,v1.2,AAPL,2018-01-01–2019-01-01,,,,,,,,,,EXPOSURE_EDGE_INSUFFICIENT_DATA,TIMING_EDGE_INSUFFICIENT_DATA,V1_1_INSUFFICIENT_DATA,PORTFOLIO_DIAGNOSTIC_ONLY,EXPOSURE_EDGE_INSUFFICIENT_DATA; TIMING_EDGE_INSUFFICIENT_DATA
1,2016-01-01,2019-01-01,2019-01-01,2020-01-01,AAPL,3,-1.016,0.0,,,,,False,,False,INSUFFICIENT_TEST_TRADES,INSUFFICIENT_TEST_TRADES: 3 < 5,,,v1.2,AAPL,2019-01-01–2020-01-01,,,,,,,,,,EXPOSURE_EDGE_INSUFFICIENT_DATA,TIMING_EDGE_INSUFFICIENT_DATA,V1_1_INSUFFICIENT_DATA,PORTFOLIO_DIAGNOSTIC_ONLY,EXPOSURE_EDGE_INSUFFICIENT_DATA; TIMING_EDGE_INSUFFICIENT_DATA
2,2017-01-01,2020-01-01,2020-01-01,2021-01-01,AAPL,4,1.029,2.959,,,,,False,,False,INSUFFICIENT_TEST_TRADES,INSUFFICIENT_TEST_TRADES: 4 < 5,,,v1.2,AAPL,2020-01-01–2021-01-01,,,,,,,,,,EXPOSURE_EDGE_INSUFFICIENT_DATA,TIMING_EDGE_INSUFFICIENT_DATA,V1_1_INSUFFICIENT_DATA,PORTFOLIO_DIAGNOSTIC_ONLY,EXPOSURE_EDGE_INSUFFICIENT_DATA; TIMING_EDGE_INSUFFICIENT_DATA
3,2018-01-01,2021-01-01,2021-01-01,2022-01-01,AAPL,2,0.896,2.462,,,,,False,,False,INSUFFICIENT_TEST_TRADES,INSUFFICIENT_TEST_TRADES: 2 < 5,,,v1.2,AAPL,2021-01-01–2022-01-01,,,,,,,,,,EXPOSURE_EDGE_INSUFFICIENT_DATA,TIMING_EDGE_INSUFFICIENT_DATA,V1_1_INSUFFICIENT_DATA,PORTFOLIO_DIAGNOSTIC_ONLY,EXPOSURE_EDGE_INSUFFICIENT_DATA; TIMING_EDGE_INSUFFICIENT_DATA
4,2019-01-01,2022-01-01,2022-01-01,2023-01-01,AAPL,0,0.0,0.0,,,,,False,,False,INSUFFICIENT_TEST_TRADES,INSUFFICIENT_TEST_TRADES: 0 < 5,,,v1.2,AAPL,2022-01-01–2023-01-01,,,,,,,,,,EXPOSURE_EDGE_INSUFFICIENT_DATA,TIMING_EDGE_INSUFFICIENT_DATA,V1_1_INSUFFICIENT_DATA,PORTFOLIO_DIAGNOSTIC_ONLY,EXPOSURE_EDGE_INSUFFICIENT_DATA; TIMING_EDGE_INSUFFICIENT_DATA
5,2020-01-01,2023-01-01,2023-01-01,2024-01-01,AAPL,2,0.558,1.546,,,,,False,,False,INSUFFICIENT_TEST_TRADES,INSUFFICIENT_TEST_TRADES: 2 < 5,,,v1.2,AAPL,2023-01-01–2024-01-01,,,,,,,,,,EXPOSURE_EDGE_INSUFFICIENT_DATA,TIMING_EDGE_INSUFFICIENT_DATA,V1_1_INSUFFICIENT_DATA,PORTFOLIO_DIAGNOSTIC_ONLY,EXPOSURE_EDGE_INSUFFICIENT_DATA; TIMING_EDGE_INSUFFICIENT_DATA
0,2015-01-01,2018-01-01,2018-01-01,2019-01-01,AMZN,3,1.649,5.579,,,,,False,,False,INSUFFICIENT_TEST_TRADES,INSUFFICIENT_TEST_TRADES: 3 < 5,,,v1.2,AMZN,2018-01-01–2019-01-01,,,,,,,,,,EXPOSURE_EDGE_INSUFFICIENT_DATA,TIMING_EDGE_INSUFFICIENT_DATA,V1_1_INSUFFICIENT_DATA,PORTFOLIO_DIAGNOSTIC_ONLY,EXPOSURE_EDGE_INSUFFICIENT_DATA; TIMING_EDGE_INSUFFICIENT_DATA
1,2016-01-01,2019-01-01,2019-01-01,2020-01-01,AMZN,4,-0.018,0.953,,,,,False,,False,INSUFFICIENT_TEST_TRADES,INSUFFICIENT_TEST_TRADES: 4 < 5,,,v1.2,AMZN,2019-01-01–2020-01-01,,,,,,,,,,EXPOSURE_EDGE_INSUFFICIENT_DATA,TIMING_EDGE_INSUFFICIENT_DATA,V1_1_INSUFFICIENT_DATA,PORTFOLIO_DIAGNOSTIC_ONLY,EXPOSURE_EDGE_INSUFFICIENT_DATA; TIMING_EDGE_INSUFFICIENT_DATA
2,2017-01-01,2020-01-01,2020-01-01,2021-01-01,AMZN,5,1.388,4.186,3.461,3.148,2.678,2.132,True,True,True,OK,,,,v1.2,AMZN,2020-01-01–2021-01-01,,,3.461,,3.148,,2.678,,,EXPOSURE_EDGE_INSUFFICIENT_DATA,TIMING_EDGE_INSUFFICIENT_DATA,V1_1_NO_GO,PORTFOLIO_DIAGNOSTIC_ONLY,EXPOSURE_EDGE_INSUFFICIENT_DATA; TIMING_EDGE_INSUFFICIENT_DATA
3,2018-01-01,2021-01-01,2021-01-01,2022-01-01,AMZN,5,-0.214,0.719,-0.38,0.32,0.45,1.15,False,False,False,OK,NEGATIVE_EXPECTANCY: -0.214; LOW_PROFIT_FACTOR: 0.719; CALMAR_BELOW_BENCHMARK: -0.380 < 0.320,,,v1.2,AMZN,2021-01-01–2022-01-01,,,-0.38,,0.32,,0.45,,,EXPOSURE_EDGE_INSUFFICIENT_DATA,TIMING_EDGE_INSUFFICIENT_DATA,V1_1_NO_GO,PORTFOLIO_DIAGNOSTIC_ONLY,EXPOSURE_EDGE_INSUFFICIENT_DATA; TIMING_EDGE_INSUFFICIENT_DATA
4,2019-01-01,2022-01-01,2022-01-01,2023-01-01,AMZN,0,0.0,0.0,,,,,False,,False,INSUFFICIENT_TEST_TRADES,INSUFFICIENT_TEST_TRADES: 0 < 5,,,v1.2,AMZN,2022-01-01–2023-01-01,,,,,,,,,,EXPOSURE_EDGE_INSUFFICIENT_DATA,TIMING_EDGE_INSUFFICIENT_DATA,V1_1_INSUFFICIENT_DATA,PORTFOLIO_DIAGNOSTIC_ONLY,EXPOSURE_EDGE_INSUFFICIENT_DATA; TIMING_EDGE_INSUFFICIENT_DATA
5,2020-01-01,2023-01-01,2023-01-01,2024-01-01,AMZN,1,-1.01,0.0,,,,,False,,False,INSUFFICIENT_TEST_TRADES,INSUFFICIENT_TEST_TRADES: 1 < 5,,,v1.2,AMZN,2023-01-01–2024-01-01,,,,,,,,,,EXPOSURE_EDGE_INSUFFICIENT_DATA,TIMING_EDGE_INSUFFICIENT_DATA,V1_1_INSUFFICIENT_DATA,PORTFOLIO_DIAGNOSTIC_ONLY,EXPOSURE_EDGE_INSUFFICIENT_DATA; TIMING_EDGE_INSUFFICIENT_DATA
0,2015-01-01,2018-01-01,2018-01-01,2019-01-01,ANET,3,0.208,1.229,,,,,False,,False,INSUFFICIENT_TEST_TRADES,INSUFFICIENT_TEST_TRADES: 3 < 5,,,v1.2,ANET,2018-01-01–2019-01-01,,,,,,,,,,EXPOSURE_EDGE_INSUFFICIENT_DATA,TIMING_EDGE_INSUFFICIENT_DATA,V1_1_INSUFFICIENT_DATA,PORTFOLIO_DIAGNOSTIC_ONLY,EXPOSURE_EDGE_INSUFFICIENT_DATA; TIMING_EDGE_INSUFFICIENT_DATA
1,2016-01-01,2019-01-01,2019-01-01,2020-01-01,ANET,1,-1.01,0.0,,,,,False,,False,INSUFFICIENT_TEST_TRADES,INSUFFICIENT_TEST_TRADES: 1 < 5,,,v1.2,ANET,2019-01-01–2020-01-01,,,,,,,,,,EXPOSURE_EDGE_INSUFFICIENT_DATA,TIMING_EDGE_INSUFFICIENT_DATA,V1_1_INSUFFICIENT_DATA,PORTFOLIO_DIAGNOSTIC_ONLY,EXPOSURE_EDGE_INSUFFICIENT_DATA; TIMING_EDGE_INSUFFICIENT_DATA
2,2017-01-01,2020-01-01,2020-01-01,2021-01-01,ANET,1,-1.008,0.0,,,,,False,,False,INSUFFICIENT_TEST_TRADES,INSUFFICIENT_TEST_TRADES: 1 < 5,,,v1.2,ANET,2020-01-01–2021-01-01,,,,,,,,,,EXPOSURE_EDGE_INSUFFICIENT_DATA,TIMING_EDGE_INSUFFICIENT_DATA,V1_1_INSUFFICIENT_DATA,PORTFOLIO_DIAGNOSTIC_ONLY,EXPOSURE_EDGE_INSUFFICIENT_DATA; TIMING_EDGE_INSUFFICIENT_DATA
3,2018-01-01,2021-01-01,2021-01-01,2022-01-01,ANET,5,0.956,2.309,3.188,6.035,5.215,2.973,False,False,False,OK,CALMAR_BELOW_BENCHMARK: 3.188 < 6.035,,,v1.2,ANET,2021-01-01–2022-01-01,,,3.188,,6.035,,5.215,,,EXPOSURE_EDGE_INSUFFICIENT_DATA,TIMING_EDGE_INSUFFICIENT_DATA,V1_1_NO_GO,PORTFOLIO_DIAGNOSTIC_ONLY,EXPOSURE_EDGE_INSUFFICIENT_DATA; TIMING_EDGE_INSUFFICIENT_DATA
